['172.24.32.1', '192.168.1.1', '10.0.0.1', '172.19.212.177', '10.220.187.120', '10.220.187.187', '80.249.208.77', '140.222.236.59', '219.158.6.77', '219.158.3.181', '219.158.8.29', '123.126.0.146', '202.106.204.238', '54.222.0.175', '54.222.0.250', '54.222.24.251', '54.222.61.171']
('80.249.208.77', {'country': 'The Netherlands', 'region': 'NH', 'city': 'Schiphol', 'lat': 52.2832, 'lon': 4.7521})
('140.222.236.59', {'country': 'United States', 'region': 'NY', 'city': 'Harrison', 'lat': 41.0269, 'lon': -73.7153})
('219.158.6.77', {'country': 'China', 'region': 'BJ', 'city': 'Jinrongjie', 'lat': 39.9175, 'lon': 116.362})
('219.158.3.181', {'country': 'China', 'region': 'BJ', 'city': 'Jinrongjie', 'lat': 39.9175, 'lon': 116.362})
('219.158.8.29', {'country': 'China', 'region': 'BJ', 'city': 'Jinrongjie', 'lat': 39.9175, 'lon': 116.362})
('123.126.0.146', {'country': 'China', 'region': 'BJ', 'city': 'Jinrongjie', 'lat': 39.9175, 'lon': 116.362})
('202.106.204.238', {'country': 'China', 'region': 'BJ', 'city': 'Jinrongjie', 'lat': 39.9175, 'lon': 116.362})
('54.222.0.175', {'country': 'China', 'region': 'BJ', 'city': 'Beijing', 'lat': 39.9288, 'lon': 116.3889})
('54.222.0.250', {'country': 'China', 'region': 'BJ', 'city': 'Beijing', 'lat': 39.9288, 'lon': 116.3889})
('54.222.24.251', {'country': 'China', 'region': 'BJ', 'city': 'Beijing', 'lat': 39.9288, 'lon': 116.3889})
('54.222.61.171', {'country': 'China', 'region': 'BJ', 'city': 'Beijing', 'lat': 39.911, 'lon': 116.395})
