['172.24.32.1', '192.168.1.1', '10.0.0.1', '172.19.212.177', '10.220.187.120', '10.220.187.195', '80.81.195.121', '223.120.10.85', '223.120.14.174', '223.120.22.30', '223.120.22.165', '221.183.92.201', '221.183.92.205', '221.183.166.209', '221.183.165.89', '221.183.60.250', '111.12.72.70', '123.155.157.142', '123.157.255.108']
('80.81.195.121', {'country': 'Germany', 'region': 'NW', 'city': 'Cologne', 'lat': 50.9485, 'lon': 6.90934})
('223.120.10.85', {'country': 'Hong Kong', 'region': 'NTW', 'city': 'Kwai Chung', 'lat': 22.3616, 'lon': 114.133})
('223.120.14.174', {'country': 'Hong Kong', 'region': 'NTW', 'city': 'Kwai Chung', 'lat': 22.3616, 'lon': 114.133})
('223.120.22.30', {'country': 'Hong Kong', 'region': 'NTW', 'city': 'Kwai Chung', 'lat': 22.3616, 'lon': 114.133})
('223.120.22.165', {'country': 'Hong Kong', 'region': 'NTW', 'city': 'Kwai Chung', 'lat': 22.3616, 'lon': 114.133})
('221.183.92.201', {'country': 'China', 'region': 'GD', 'city': 'Shenzhen', 'lat': 22.5431, 'lon': 114.058})
('221.183.92.205', {'country': 'China', 'region': 'GD', 'city': 'Shenzhen', 'lat': 22.5431, 'lon': 114.058})
('221.183.166.209', {'country': 'China', 'region': 'GD', 'city': 'Shenzhen', 'lat': 22.5431, 'lon': 114.058})
('221.183.165.89', {'country': 'China', 'region': 'SH', 'city': 'Shanghai', 'lat': 31.2304, 'lon': 121.474})
('221.183.60.250', {'country': 'China', 'region': 'GD', 'city': 'Shenzhen', 'lat': 22.5431, 'lon': 114.058})
('111.12.72.70', {'country': 'China', 'region': 'GD', 'city': 'Shenzhen', 'lat': 22.5431, 'lon': 114.058})
('123.155.157.142', {'country': 'China', 'region': 'ZJ', 'city': 'Hangzhou', 'lat': 30.2742, 'lon': 120.155})
('123.157.255.108', {'country': 'China', 'region': 'ZJ', 'city': 'Hangzhou', 'lat': 30.2742, 'lon': 120.155})
